form	count	suttas	gloss	headword
Ko	36	AN 10.61, AN 10.62, Iti 22	who? what? (interrogative)	ka
vadāmi	35	AN 10.61, AN 10.62	I say	vadati
cāhāro	35	AN 10.61, AN 10.62	and the nutriment (ca + āhāro)	āhāra
vacanīyaṁ	35	AN 10.61, AN 10.62	should be the answer, to be said	vacanīya
paripūrā	30	AN 10.61, AN 10.62	complete, fulfilled	paripūra
etadahosi	26	SN 12.4, Ud 8.5, Iti 22	this (thought) occurred (etad + ahosi)	hoti
nu	23	SN 12.4, Iti 22	(interrogative particle) indeed?	nu
kimhi	22	SN 12.4	in what? when what exists? (loc.)	ka
paripūro	21	AN 10.61, AN 10.62	complete, fulfilled (nom. m.)	paripūra
pe	18	SN 12.2, SN 12.3, SN 12.4, AN 10.60, AN 10.62, Ud 8.5, Ud 8.7	… and so on (ellipsis marker, peyyāla)	peyyāla
paripūraṁ	18	AN 10.61, AN 10.62	complete, fulfilled (acc./nom. nt.)	paripūra
sikkhati	16	AN 10.60	he trains	sikkhati
Evametassa	13	SN 12.2, SN 12.3, SN 12.4, AN 10.61, AN 10.62, Ud 1.1, Ud 1.1, 1.2, 1.3	thus of this (evaṁ + etassa)	eta
evañca	12	AN 10.61, AN 10.62	and thus (evaṁ + ca)	evaṁ
yaṁ	11	MN 21, SN 12.2, AN 10.60, Kp 9, Ud 8.5	which, that (rel. pron.)	ya
kiṁpaccayā	11	SN 12.4	from what condition? (kiṁ + paccayā)	paccaya
pāripūri	10	AN 10.61, AN 10.62	fulfilment, completion	pāripūrī
kevalassa	9	SN 12.2, SN 12.3, SN 12.4, Ud 1.1, Ud 1.1, 1.2, 1.3	of the whole, entire	kevala
assasissāmī’ti	8	AN 10.60	'I shall breathe in' (quote)	assasati
passasissāmī’ti	8	AN 10.60	'I shall breathe out' (quote)	passasati
evametissā	8	AN 10.61, AN 10.62	thus of this (f.) (evaṁ + etissā)	eta
āmantesi	8	Ud 8.5	addressed	āmanteti
Variant	7	MN 21, AN 10.61, AN 10.62	edition marker — not a word	—
paripūrāni	7	AN 10.61, AN 10.62	complete, fulfilled (nt. pl.)	paripūra
viditvā	7	Ud 1.1, Ud 1.1, 1.2, 1.3, Ud 8.4, Ud 8.5, Ud 8.7, Ud 8.9	having understood, having known	vindati
kammāraputto	7	Ud 8.5	the smith, smith's son (nom.)	kammāraputta
āyasmatā	7	Ud 8.5, Ud 8.7	by the venerable (instr.)	āyasmant
bj	6	AN 10.61	edition marker — not a word	—
sya-all	6	AN 10.61	edition marker — not a word	—
pts1ed	6	AN 10.61	edition marker — not a word	—
sāhāre	6	AN 10.61, AN 10.62	having nutriment (acc. pl.)	sāhāra
anāhāre	6	AN 10.61, AN 10.62	without nutriment (acc. pl.)	anāhāra
Tīṇipāhaṁ	6	AN 10.61, AN 10.62	and the three, I say (tīṇi + pi + ahaṁ)	ti
pabbatakandarapadarasākhā	6	AN 10.61, AN 10.62	mountain clefts, crevices, and gullies	pabbatakandarapadarasākhā
kunnadiyo	6	AN 10.61, AN 10.62	small rivers, streams	kunnadī
mahānadiyo	6	AN 10.61, AN 10.62	great rivers	mahānadī
kammāraputtassa	6	Ud 8.5	of the smith (gen.)	kammāraputta
catugguṇaṁ	6	Ud 8.5	folded in four, fourfold (acc.)	catugguṇa
nadī	6	Ud 8.5	river	nadī
kammāraputtena	6	Ud 8.5	by the smith (instr.)	kammāraputta
pubbe	5	SN 12.4, AN 10.61, AN 10.62, Sn 2.4 / Kp 5	formerly, before	pubba
udakaṁ	5	AN 10.61, AN 10.62, Ud 8.5	water (acc./nom.)	udaka
vuṭṭhahitvā	5	Ud 1.1, Ud 1.1, 1.2, 1.3, Ud 8.9	having emerged, having risen	vuṭṭhahati
sūkaramaddavaṁ	5	Ud 8.5	sūkaramaddava, the tender-pork dish (acc.)	sūkaramaddava
pānīyaṁ	5	Ud 8.5	drinking water (acc.)	pānīya
upacitaṁ	5	Ud 8.5	accumulated (acc.)	upacināti
nāgasamālo	5	Ud 8.7	Nāgasamāla (name, nom.)	nāgasamāla
Yā	4	SN 12.2, Sn 2.4 / Kp 5	which, who (rel. f. nom.)	ya
Chayime	4	SN 12.2	these six (cha + ime)	cha
aññāṇaṁ	4	SN 12.2	not-knowing, ignorance	aññāṇa
sabbasaṅkhāresu	4	AN 10.60	in all formations (loc. pl.)	saṅkhāra
Rassaṁ	4	AN 10.60	short (breath) (acc.)	rassa
Passambhayaṁ	4	AN 10.60	calming (pres. part.)	passambheti
imā	4	AN 10.60	these (f. pl.)	ima
sāhārāni	4	AN 10.61, AN 10.62	having nutriment (nt. pl.)	sāhāra
anāhārāni	4	AN 10.61, AN 10.62	without nutriment (nt. pl.)	anāhāra
uparipabbate	4	AN 10.61, AN 10.62	on the mountain top (loc.)	uparipabbata
thullaphusitake	4	AN 10.61, AN 10.62	with fat (rain)drops (loc.)	thullaphusitaka
vassante	4	AN 10.61, AN 10.62	raining (loc. absolute)	vassati
yathāninnaṁ	4	AN 10.61, AN 10.62	downhill, along the slope	yathāninna
pavattamānaṁ	4	AN 10.61, AN 10.62	flowing, proceeding (pres. part. acc.)	pavattati
kusobbhe	4	AN 10.61, AN 10.62	small pools, ditches (acc. pl.)	kusobbha
mahāsobbhe	4	AN 10.61, AN 10.62	large pools (acc. pl.)	mahāsobbha
mahāsamuddassa	4	AN 10.61, AN 10.62	of the great ocean	mahāsamudda
sāgarassa	4	AN 10.61, AN 10.62	of the sea	sāgara
yassa	4	Sn 2.4 / Kp 5, Ud 8.5	of whom, of which	ya
kathāya	4	Ud 8.4, Ud 8.5	with talk, discourse (instr.)	kathā
bhikkhusaṅghena	4	Ud 8.5	with the community of monks (instr.)	bhikkhusaṅgha
kammāraputtaṁ	4	Ud 8.5	the smith (acc.)	kammāraputta
paṭiyattaṁ	4	Ud 8.5	prepared, made ready (acc.)	paṭiyādeti
iṅgha	4	Ud 8.5	come now! (exhortative particle)	iṅgha
saṅghāṭiṁ	4	Ud 8.5	the outer robe (acc.)	saṅghāṭi
piṇḍapātaṁ	4	Ud 8.5	almsfood (acc.)	piṇḍapāta
pantho	4	Ud 8.7	path, road (nom.)	pantha
gacchāmā”ti	4	Ud 8.7	'let us go' (quote)	gacchati
sandhāvanti	4	Iti 14, Iti 15	they run on, transmigrate	sandhāvati
corā	3	MN 21, Ud 8.7	bandits, thieves (nom. pl.)	cora
idañca	3	SN 12.2	and this (idaṁ + ca)	ima
Catutthaṁ	3	SN 12.4, Iti 14, Iti 24	the fourth (section ending)	catuttha
Sace	3	AN 10.60, Iti 24	if	sace
anabhiratasaññā	3	AN 10.60	perception of non-delight (in the whole world)	anabhiratasaññā
Pañcapāhaṁ	3	AN 10.61	and the five, I say (pañca + pi + ahaṁ)	pañca
